"Designators","Value","Footprint","Quantity","DNP"
"boot1,reset1","SW_Push","Button_Switch_SMD:SW_SPST_TL3342","2",""
"C1-C3","10 micro","Capacitor_SMD:C_0805_2012Metric","3",""
"E-ink_display1","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J1","LiPo_Battery","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","USB_C_Receptacle_USB2.0_14P","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1",""
"R1,R2","5.1k","Resistor_SMD:R_0805_2012Metric","2",""
"R3-R5","10k","Resistor_SMD:R_0805_2012Metric","3",""
"U1","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1",""
"U2","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","1",""
"U3","ESP32-C3-MINI-1","Espressif:ESP32-C3-MINI-1","1",""
