Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10 micro","C_0805_2012Metric",87.050000,-53.000000,180.000000,top
"C2","10 micro","C_0805_2012Metric",90.000000,-57.000000,0.000000,top
"C3","10 micro","C_0805_2012Metric",95.000000,-68.000000,90.000000,top
"R1","5.1k","R_0805_2012Metric",72.087500,-53.000000,180.000000,top
"R2","5.1k","R_0805_2012Metric",83.000000,-58.050000,90.000000,top
"R3","10k","R_0805_2012Metric",95.000000,-62.000000,180.000000,top
"R4","10k","R_0805_2012Metric",78.912500,-45.000000,0.000000,top
"R5","10k","R_0805_2012Metric",70.000000,-27.000000,0.000000,top
"U1","AP2112K-3.3","SOT-23-5",90.137500,-67.950000,180.000000,top
"U2","MCP73831-2-MC","SOT-23-5",90.000000,-62.000000,180.000000,top
"U3","ESP32-C3-MINI-1","ESP32-C3-MINI-1",91.975000,-34.350000,0.000000,top
"boot1","SW_Push","SW_SPST_TL3342",71.850000,-37.850000,0.000000,top
"reset1","SW_Push","SW_SPST_TL3342",71.850000,-44.900000,0.000000,top
